,mean,std,F1,F2
SF36_physical_functioning,69.70217640320733,29.02889456464735,0.8375253253197367,0.06828922955065711
SF36_role_limitations_physical,37.31958762886598,43.020403191261344,0.7714943538000435,0.16889300369421406
SF36_role_limitations_emotional,56.63230240549829,43.176487829865266,0.19942960875739532,0.6316080255029529
SF36_energy_fatigue,34.07560137457044,24.007120593648416,0.7538914600394573,0.35704187052642106
SF36_pain,66.90721649484536,26.04175861220314,0.6735589683751452,0.1971324293797633
GAD2,2.0989690721649485,1.953620015867176,0.15118720806595468,0.7725449130180451
PHQ2,1.997938144329897,1.8636352207004974,0.31741442089525446,0.7564524115272055
subj_memory,2.2783505154639174,1.0055863389831463,0.5651788675690068,0.26752859741065393
subj_baseline,0.3237113402061856,0.46837445195822447,0.609154130806376,0.25601780436978616
WHO_COVID_severity,0.7298969072164948,0.4444713055035553,-0.4612668966200766,-0.05884487241291181
days_since_+test,93.30309278350515,67.6782990317902,-0.017758819909606087,0.01609465075393863
eigenvalues,,,4.671425157325705,1.483694147840797
% variance,,,30.778602856796567,17.348557930779933
